t,orig,recon
5.37,-0.0260608034,-0.0319998088
5.38,-0.0240608034,-0.0294771616
5.39,-0.0210608034,-0.0269528775
5.4,-0.0190608034,-0.0244288544
5.41,-0.0170608034,-0.0219070076
5.42,-0.0150608034,-0.0193892732
5.43,-0.0120608034,-0.0168776098
5.44,-0.0100608034,-0.0143740005
5.45,-0.00806080337,-0.0118804532
5.46,-0.00606080337,-0.00939900057
5.47,-0.00406080337,-0.00693169879
5.48,-0.00106080337,-0.00448062579
5.49,0.000939196634,-0.0020478781
5.5,0.00293919663,0.000364432849
5.51,0.00493919663,0.00275418549
5.52,0.00693919663,0.00511925354
5.53,0.00893919663,0.00745751226
5.54,0.0109391966,0.0097668453
5.55,0.0129391966,0.0120451521
5.56,0.0149391966,0.0142903557
5.57,0.0169391966,0.016500411
5.58,0.0189391966,0.0186733128
5.59,0.0209391966,0.0208071047
5.6,0.0229391966,0.0228998868
5.61,0.0249391966,0.0249498242
5.62,0.0259391966,0.0269551546
5.63,0.0279391966,0.0289141954
5.64,0.0299391966,0.0308253506
5.65,0.0309391966,0.0326871167
5.66,0.0329391966,0.0344980875
5.67,0.0349391966,0.0362569589
5.68,0.0359391966,0.0379625317
5.69,0.0379391966,0.0396137143
5.7,0.0389391966,0.0412095237
5.71,0.0399391966,0.042749086
5.72,0.0419391966,0.0442316352
5.73,0.0429391966,0.045656512
5.74,0.0439391966,0.0470231603
5.75,0.0449391966,0.0483311242
5.76,0.0459391966,0.0495800429
5.77,0.0479391966,0.050769646
5.78,0.0489391966,0.0518997474
5.79,0.0499391966,0.0529702389
5.8,0.0499391966,0.0539810834
5.81,0.0509391966,0.0549323085
5.82,0.0519391966,0.0558239986
5.83,0.0529391966,0.0566562886
5.84,0.0539391966,0.0574293567
5.85,0.0539391966,0.0581434179
5.86,0.0549391966,0.058798718
5.87,0.0549391966,0.0593955281
5.88,0.0559391966,0.0599341398
5.89,0.0559391966,0.0604148611
5.9,0.0569391966,0.060838013
5.91,0.0569391966,0.0612039275
5.92,0.0569391966,0.0615129461
5.93,0.0579391966,0.0617654193
5.94,0.0579391966,0.0619617073
5.95,0.0579391966,0.0621021817
5.96,0.0579391966,0.0621872279
5.97,0.0579391966,0.062217248
5.98,0.0579391966,0.0621926658
5.99,0.0579391966,0.0621139309
6,0.0579391966,0.0619815244
6.01,0.0569391966,0.061795965
6.02,0.0569391966,0.0615578147
6.03,0.0569391966,0.0612676858
6.04,0.0569391966,0.0609262471
6.05,0.0559391966,0.0605342305
6.06,0.0559391966,0.0600924365
6.07,0.0549391966,0.0596017407
6.08,0.0549391966,0.0590630985
6.09,0.0539391966,0.0584775497
6.1,0.0539391966,0.057846222
6.11,0.0529391966,0.0571703341
6.12,0.0529391966,0.0564511971
6.13,0.0519391966,0.0556902152
6.14,0.0509391966,0.0548888852
6.15,0.0499391966,0.0540487949
6.16,0.0499391966,0.05317162
6.17,0.0489391966,0.0522591202
6.18,0.0479391966,0.0513131337
6.19,0.0469391966,0.0503355711
6.2,0.0459391966,0.0493284077
6.21,0.0449391966,0.0482936753
6.22,0.0439391966,0.0472334531
6.23,0.0439391966,0.0461498578
6.24,0.0429391966,0.0450450328
6.25,0.0419391966,0.0439211381
6.26,0.0409391966,0.0427803386
6.27,0.0389391966,0.0416247935
6.28,0.0379391966,0.0404566451
6.29,0.0369391966,0.0392780082
6.3,0.0359391966,0.0380909602
6.31,0.0349391966,0.0368975311
6.32,0.0339391966,0.0356996954
6.33,0.0329391966,0.0344993639
6.34,0.0319391966,0.0332983772
6.35,0.0309391966,0.0320985004
6.36,0.0299391966,0.0309014188
6.37,0.0289391966,0.029708735
6.38,0.0279391966,0.0285219677
6.39,0.0259391966,0.0273425514
6.4,0.0249391966,0.0261718379
6.41,0.0239391966,0.0250110991
6.42,0.0229391966,0.0238615311
6.43,0.0219391966,0.0227242594
6.44,0.0209391966,0.0216003452
6.45,0.0199391966,0.0204907927
6.46,0.0189391966,0.0193965578
6.47,0.0179391966,0.0183185561
6.48,0.0169391966,0.0172576729
6.49,0.0159391966,0.0162147726
6.5,0.0149391966,0.0151907079
6.51,0.0139391966,0.01418633
6.52,0.0129391966,0.013202497
6.53,0.0119391966,0.0122400832
6.54,0.0109391966,0.0112999862
6.55,0.00993919663,0.0103831343
6.56,0.00893919663,0.00949049197
6.57,0.00793919663,0.0086230642
6.58,0.00793919663,0.00778189976
6.59,0.00693919663,0.00696809248
6.6,0.00593919663,0.00618278121
6.61,0.00493919663,0.00542714794
6.62,0.00493919663,0.00470241424
6.63,0.00393919663,0.00400983607
6.64,0.00293919663,0.00335069682
6.65,0.00293919663,0.00272629873
6.66,0.00193919663,0.00213795293
6.67,0.00193919663,0.00158696787
6.68,0.000939196634,0.00107463674
6.69,0.000939196634,0.000602223648
6.7,-6.08033657e-05,0.000170949014
6.71,-6.08033657e-05,-0.000218025658
6.72,-0.00106080337,-0.000563613457
6.73,-0.00106080337,-0.000864817864
6.74,-0.00106080337,-0.00112074845
6.75,-0.00106080337,-0.00133063622
6.76,-0.00206080337,-0.00149384827
6.77,-0.00206080337,-0.0016099016
6.78,-0.00206080337,-0.00167847578
6.79,-0.00206080337,-0.00169942419
6.8,-0.00206080337,-0.00167278369
6.81,-0.00206080337,-0.00159878249
6.82,-0.00206080337,-0.001477846
6.83,-0.00206080337,-0.00131060064
6.84,-0.00206080337,-0.00109787532
6.85,-0.00206080337,-0.000840700667
6.86,-0.00206080337,-0.000540305864
6.87,-0.00206080337,-0.000198113112
6.88,-0.00206080337,0.000184270246
6.89,-0.00106080337,0.000605061898
6.9,-0.00106080337,0.0010623169
6.91,-0.00106080337,0.00155394209
6.92,-0.00106080337,0.00207771234
6.93,-6.08033657e-05,0.00263128852
6.94,-6.08033657e-05,0.00321223691
6.95,-6.08033657e-05,0.0038180498
6.96,0.000939196634,0.00444616696
6.97,0.000939196634,0.00509399788
6.98,0.00193919663,0.00575894418
6.99,0.00193919663,0.00643842209
7,0.00293919663,0.00712988472
7.01,0.00293919663,0.00783084356
7.02,0.00393919663,0.00853888915
7.03,0.00493919663,0.00925171058
7.04,0.00493919663,0.00996711337
7.05,0.00593919663,0.0106830357
7.06,0.00693919663,0.0113975627
7.07,0.00693919663,0.0121089385
7.08,0.00793919663,0.0128155756
7.09,0.00893919663,0.0135160627
7.1,0.00893919663,0.0142091688
7.11,0.00993919663,0.0148938454
7.12,0.0109391966,0.0155692257
7.13,0.0119391966,0.0162346214
7.14,0.0119391966,0.0168895169
7.15,0.0129391966,0.0175335605
7.16,0.0139391966,0.0181665539
7.17,0.0149391966,0.0187884397
7.18,0.0149391966,0.0193992856
7.19,0.0159391966,0.0199992688
7.2,0.0169391966,0.0205886571
7.21,0.0179391966,0.0211677902
7.22,0.0179391966,0.0217370594
7.23,0.0189391966,0.0222968867
7.24,0.0199391966,0.0228477042
7.25,0.0209391966,0.0233899329
7.26,0.0219391966,0.0239239624
7.27,0.0219391966,0.024450131
7.28,0.0229391966,0.0249687072
7.29,0.0239391966,0.0254798719
7.3,0.0239391966,0.0259837027
7.31,0.0249391966,0.0264801597
7.32,0.0259391966,0.0269690736
7.33,0.0259391966,0.0274501356
7.34,0.0269391966,0.0279228898
7.35,0.0279391966,0.0283867283
7.36,0.0279391966,0.0288408884
7.37,0.0289391966,0.0292844526
7.38,0.0289391966,0.0297163506
7.39,0.0299391966,0.0301353648
7.4,0.0299391966,0.0305401373
7.41,0.0309391966,0.030929179
